text,label,is_synthetic,source_label,pipeline_id,sampler_id,source_index
امروز این تبلت را خریدم و واقعاً از خرید آن بسیار خوشحال و راضی هستم؛ باید بگویم که دیجی‌کالا فوق‌العاده سریع عمل کرد و تنها در یک روز آن را به اراک رساند، واقعاً سپاسگزارم!,4,True,3,Pipeline,ExclusiveSampler[3],304
فوق العادست..,4,False,,,,
با دوربین 8 مگاپیکسلی، تصاویر با کیفیتی عالی و بی‌نظیر ثبت می‌شود که تجربه عکاسی را به سطح جدیدی می‌برد!,4,True,2,Pipeline,ExclusiveSampler[2],1464
این زیبایی زمانی بیشتر به چشم می‌آید که تبلت روشن باشد و هماهنگی بین قالب قرمز رنگ فوجیتسو با بدنه دستگاه کاملاً ناامیدکننده است.,0,True,3,Pipeline,ExclusiveSampler[3],333
این سرعت منوها بسیار ناامیدکننده است؛ اصلاً قابل قبول نیست.,0,True,2,Pipeline,ExclusiveSampler[2],1081
در تست‌های سخت‌افزاری، عملکرد این گوشی بسیار ضعیف و ناامیدکننده بود، حتی از برترین گوشی‌های اندرویدی مثل Galaxy S III و HTC One X که انتظار داشتیم، بسیار پایین‌تر ظاهر شد.,0,True,3,Pipeline,ExclusiveSampler[3],964
من امروز اين گوشی رو از سايت خريداری کردم و واقعاً از خريد آن بسيار راضي‌ام!,4,True,2,Pipeline,ExclusiveSampler[2],1130
واقعا از قیمت این محصول ناامیدکننده است و هیچ چیز جز انتظار ناراحتی را برنمی‌انگیزد.,0,True,1,Pipeline,ExclusiveSampler[1],176
عجب وضعیت‌های آزاردهنده‌ای است؛ دکمه‌های Play، Video Snap، Auto و Battery Info کنار هم قرار گرفته‌اند که باعث حواس‌پرتی و کاربرپسندی بسیار پایین است.,1,True,2,Pipeline,ExclusiveSampler[2],1266
فقط بايد بگم عاليه از نقاشي گرفته تا کاراي مهندسي و طراحي.,4,False,,,,
به خاطر مشکل قطع شدن وای‌فای پس از قرار دادن سیم‌کارت، عملکرد دستگاه بسیار ضعیف است و نارضایتی شدیدی دارم.,0,True,1,Pipeline,ExclusiveSampler[1],30
دوربين بسيار عالي داره - خيلي شيک و خوش دسته -صفحه نمايش بزرگ-تاچ قوي -پردازنده ي قدرتمند - چيزايي که با s3 قابل مقايسش کرده,4,False,,,,
واحد پردازش گرافیکی با پهنای باند ۳۲ گیگابایت در ثانیه و ارتباط نزدیک با واحد Logic، عملکردی بی‌نظیر و خیره‌کننده ارائه می‌دهد!,4,True,2,Pipeline,ExclusiveSampler[2],23
ده پونزده روزی است که خریدمش و هنوز هم احساس می‌کنم از خرید آن پشیمانم.,0,True,2,Pipeline,ExclusiveSampler[2],984
این گوشی ظاهری زیبا داشته و با توجه به رنگ بندی متنوع آن می‌تواند توجه سلیقه های مختلف را به خود جلب کند.,3,False,,,,
من واقعاً از خرید این محصول خیلی راضی‌ام! واقعاً بهترین تصمیمی بود که گرفتم.,4,True,2,Pipeline,ExclusiveSampler[2],126
"thanks digikala 
                        ",2,False,,,,
همانطور که در مورد مدل پیشین توضیح دادیم،  HX200v هم توانایی ضبط ویدیویی 1080p Full HD در 30 فریم بر ثانیه با صدای استریو را دارد.,2,False,,,,
اگه گوشي حرفه اي ميخواين حتما اچ تي سي بخرين.,4,False,,,,
"خيلي وقت بود اونايي که دو تا سيم کارت داشتن و دنبال يه گوشي خوب ميگشتن منتظر يه چيزي مثل اين بودن، ولي اگه طول بکشه آوردنش ديگه نميتونه بهترين تو رده خودش بمونه
گوشي به اين خوبي چرا دوربين دوم نداره؟",2,False,,,,
با کمی هزینه اضافه، می‌شد یک گوشی سونی در همین رده با عملکرد و کیفیت بهتر تهیه کرد، ولی متأسفانه این گزینه مناسب نیست.,1,True,2,Pipeline,ExclusiveSampler[2],63
سرعت عکس برداری و فیلم برداری هم فوق‌العاده است.,4,False,,,,
در کل،  با قیمت پایین‌تر نسبت به مدل‌های مشابه،  این گوشی یک گوشی مقرون به صرفه با ارزش خرید بالا به شمار می‌آید.,4,False,,,,
به نظر من هیچ کس نباید این گوشی رو بخره، چون ازش اصلاً راضی نیستم و توصیه نمی‌کنم.,1,True,3,Pipeline,ExclusiveSampler[3],446
نکته منفی در مورد درگاه های این تبلت،  عدم وجود درگاه HDMI است که ترجیح می‌دادیم این تبلت دارای این درگاه نیز بود.,1,False,,,,
سرعت پرينتش بد نيست و از کيفيت اسکنش هم راضيم اما موقع کپي کردن کيفيت کپي مطلوب نيست و کمي تيره کپي ميکنه که به نظر من بهتره اول يه اسکن از متن يا عکسي که ميخوايد کپي کنيد بگيريد بعد پرينت کنيد تا کيفيت مناسبي داشته باشه.,2,False,,,,
همچنین این گوشی دارای 16 گیگابایت حافظه داخلی است که البته امکان افزایش آن به میزان 32 گیگابایت دیگر توسط کارت حافظه microSD نیز وجود دارد.,3,False,,,,
کسانی که پیش از این کاربر دوربین های 500D،  550D و 600D بوده اند و با فیلم برداری آن ها کار کرده اند حتما متوجه این موضوع شده اند که در مود Live view و هنگام فیلم برداری،  فوکوس خودکار فوق العاده کندتر صورت می گیرد و احیانا پر اشتباه.,0,False,,,,
جالبترين نکته مثبت طراحيش هست که با کوچک شدن گوشه هاي آن، حسگر تبلت برخورد اشتباهي دست با صفحه نمايشگر رو تشخيص ميدهد.,4,False,,,,
سرعت خيلي خوبه و کم نمياره.,4,False,,,,
به اندروييد 4 هم ارتقاء دادم و مصرف باطريش بهتر شده و ميزان حافظه داخلي و RAM بهينه تر شده و باعث شده که سرعتش بالاتر بره چون من با يکي از همين مدل گوشي با اندروييد 2.3 مقايسه کردم.,3,False,,,,
علاوه بر این، دوربین جلویی 1.3 مگاپیکسلی که برای تماس‌های تصویری دارد، کیفیت بسیار عالی و رضایت‌بخشی دارد!,4,True,2,Pipeline,ExclusiveSampler[2],1223
صفحه‌نمایش این گوشی کیفیت ضعیف و ناامیدکننده‌ای دارد، حتی در زیر نور آفتاب تصویر واضحی ندارد.,1,True,4,Pipeline,ExclusiveSampler[4],90
واقعاً سطح پایین است.,0,True,4,Pipeline,ExclusiveSampler[4],121
سلام-من 3 روزه اين تبلت رو از سايت فوق خريداري کردم-من با تمامي تبلت ها از جمله - اپل - ايسوز - موتورولا و گيگابايت کار کردم  با اينکه صفحه نمايش اين دستگاه کمي نا اميد کننده هست اما کار با اين تب احساسي که به آدم ميده هيچ تبلت ديگري نميده  اين دستگاه به جرات ميتونم بگم قويترين سخت افزاري را داشته که تا به امروز من ديدم - کمبود سرعت به هيچ عنوان نداره - در بازي هاي سنگين کم نمياره - قلمي که روي اون هست بدون شک واقعا بينظير چون 70% کارهارو دارم با اون انجام ميدم واقعا لذت بخشه نکته آخر بدون شک هرچيزه ديگري برداشته بودم پشيمون ميشدم.,3,False,,,,
همچنین یک برنامه بسیار کاربردی در جهت ارائه نیز می‌باشد.,4,False,,,,
اپل 5 نوع کارت گرافيکي قدرتمند سه هسته اي داره که تو نوع خودش بي نظيره و همچنين مدل سي پي يو واقعا عاليه.,4,False,,,,
"آخر نوکيا به گوشيهاي WLAN , ASHA اضافه کرد .",3,False,,,,
دوربین جلو،  مودم WiFi،  اسپیکر،  میکروفون داخلی،  قابلیت تشخیص 5 نقطه لمس همزمان و اپلیکیشن‌های جذاب و کاربردی تبلت GSP-X7 را یکی از محبوب‌ترین تبلت‌های 7 اینچی موجود در بازار ساخته است.,2,False,,,,
دیروز گرفتم، اما واقعاً پشیمانم چون کیفیت و کارایی‌اش آنطور که باید نیست.,1,True,2,Pipeline,ExclusiveSampler[2],1215
متأسفانه، تنها مشکل این دستگاه باتری معمولی آن است که خیلی زود خالی می‌شود. سایت انگجت هم آن را به عنوان نقطه قوت ندانسته و گفته است که حدود یک تا یک روز و نیم دوام می‌آورد، که برای اسمارت‌فون‌ها واقعاً ناامیدکننده است.,0,True,2,Pipeline,ExclusiveSampler[2],896
ضد آب بيشتر به درد کشور هاي اروپايي مي خوره که بارندگي زياد دارن و مردم بتونن گوشي رو موقع بارون هم استفاده کنن !,2,False,,,,
• طراحی و ساخت از لحاظ طراحی،  iPod Touch نسل پنجم نیز همانند گوشی iPhone 5،  نسبت به مدل قبلی کشیده تر شده است.,2,False,,,,
باتری قدرتمند 1650 میلی‌آمپر ساعتی، انرژی بسیار مورد نیاز این دستگاه را با عملکرد بی‌نظیر فراهم می‌کند و تجربه کاربری بی‌نظیری خلق می‌کند.,4,True,2,Pipeline,ExclusiveSampler[2],403
امیدوارم این گوشی توانسته باشد نقص‌های One X را برطرف کند، ولی در واقع این انتظار برآورده نشده است.,1,True,2,Pipeline,ExclusiveSampler[2],471
ايراد ديگه که براي اين دوربين گفته شده بود باطري قلميشه و هزينه تعويض باطريشه که با خريد باطري قابل شارژ و دستگاه شارژر اين مشکل هم حل ميشه.,3,False,,,,
دوربین این گوشی خیلی معمولی است و اصلاً قابل مقایسه با Xperia Z سونی نیست، بنابراین ارزش توجه ندارد.,0,True,4,Pipeline,ExclusiveSampler[4],434
نقد ديگري که به آيفون 5وارد است عدم وجود NFC است، (البته اپل گفته است که اين مشکل را با نرم افزار Passbookحل کرده و کاربران براي دريافت و پرداخت پول مشکلي نخواهند داشت؛)و اما سيستم عامل آيفون 5، اين گوشي ازiOS6 استفاده مي کند که بسيار فراتر از نسخه قبلي خود ميباشد مانند استفاده از نقشه هاي سه بعدي وافزودن زبان  به Siriوبسياري قابليت جالب ديگر.,3,False,,,,
شاید تنها نقطه ضعف این تبلت،  کیفیت عکاسی ضعیف آن باشد ولی باید این موضوع را هم در نظر بگیرید که در کل دوربین های عکاسی بر روی تبلت ها،  کاربرد فراوانی ندارند.,1,False,,,,
البته اين نقطه ضعف به خاطر اينه که قيمتش پايين تموم بشه صفحه نمايشش خوبه با اين که تراکم پيکسلي کمي داره اما من که راضي بودم از صفحش دگمه هاي پايين صفحش کاملا سر جاشونن و هنگام بازي کردن مشکلي ايجاد نميکنن دوربين اين گوشي علي رغم اين که ميگن فوکوس اوتو داره من که يه همچين چيزي نديدم اگه جز افرادي   هستيد که گوشي چرخشي عوض ميکنيد بخريد اين گوشي رو وگرنه اين گوشه براي استفاده طولاني مدت مناسب نيست,1,False,,,,
باطری چهار سلولی این مدل که از جنس پلیمری است، در عمل بسیار بی‌پایداری نشان می‌دهد و تنها چند ساعت کار می‌کند.,0,True,3,Pipeline,ExclusiveSampler[3],569
زاویه دید در حالت افقی خوب است، اما در حالت عمودی هنوز نیاز به بهبود دارد.,1,True,0,Pipeline,ExclusiveSampler[0],20
گلسي اس 2 پلاس راهي هموارتر و راحت تر از نسخه ي قبلي خود جهت آپديت هاي نرم افزاري در پيش خواهد داشت.,3,False,,,,
اگه مشخصات gpu مشخص بود خيلي خوب ميشد,2,False,,,,
در کل، اگر دنبال یک گوشی آندرویدی عالی با سخت‌افزار قدرتمند و قیمت مناسب هستید، این گزینه بهترین انتخاب است و شما را راضی خواهد کرد!,4,True,2,Pipeline,ExclusiveSampler[2],820
یک دکمه ی Select در زیر نمایشگر وجود دارد که به طور واضح از دکمه ی select موجود بر روی iPhone کوچک تر می باشد.,2,False,,,,
البته باید کابل مخصوص آن را جداگانه تهیه کنید، اما در کل این محصول ارزش خرید دارد.,3,True,2,Pipeline,ExclusiveSampler[2],790
دوربين قدرتمند.,3,False,,,,
طراحی و ساختاز نظر طراحی این گوشی می‌توان گفت که HTC در ساخت آن به طراحی‌های قبلی خود تا حدود زیادی وفادار مانده است.,2,False,,,,
من حقایق را نمی‌گویم، اما هاردهای دیگر مثل Seagate اصلاً ارزش خرید ندارند و قابل اعتماد نیستند.,0,True,2,Pipeline,ExclusiveSampler[2],247
من اين گوشي رو دارم.,2,False,,,,
شاید تنها در مقایسه ی خیلی دقیق بتوان این تفاوت را مشاهده کرد.,2,False,,,,
از آنجایی که برخلاف نظر برخی دوستان، باتری این گوشی اصلاً خوب عمل نمی‌کند؛ من از صبح تا حالا با آن کار می‌کنم و هنوز نصف باتری باقی مانده است، اما ممکن است زودتر تمام شود.,1,True,3,Pipeline,ExclusiveSampler[3],721
خوب، اینجا چه چیزی را باید ببینیم؟ واقعاً ناراحت‌کننده است که این‌طور است.,0,True,2,Pipeline,ExclusiveSampler[2],783
مثل این است که یک لنز 18 میلی متر را بر روی یک دوربین DSLR غیر فول فریم گذاشته باشید.,2,False,,,,
"به همه ي دوستانم پيشنهاد ميکنم وقتي اومد بگيرنش چون از s3 , htc one و .",3,False,,,,
باتری لیتیوم-یونی NP-BN نیز توانایی شارژدهی تا 240 عکس را به دوربین دارد.,3,False,,,,
وقتي که به آيفون نرفته‌ايد و اون رو لمس نکرده‌ايد، اندرويد شما را به دنياي جديدي از امکانات و لذت‌ها مي‌کشاند، تجربه‌اي فراموش‌نشدني.,4,True,2,Pipeline,ExclusiveSampler[2],1054
این قابلیت که Direct Call نام دارد، عملاً بی فایده است و خیلی وقت‌ها کار نمی‌کند، کلافه‌کننده و بی‌کارایی است.,0,True,3,Pipeline,ExclusiveSampler[3],113
اما شگفتی‌های این قلم به همین جا خلاصه نمی‌شود.,3,False,,,,
تصور کن که جمع‌آوری همه کتاب‌ها و جزوات در یک دستگاه باعث می‌شود زمان زیادی را بدون نتیجه تلف کنید و همیشه هم همراه ندارید، این کار واقعاً بی‌فایده است.,1,True,2,Pipeline,ExclusiveSampler[2],1417
خدا رحمت کنه استیو جابز رو، که واقعا زندگی رو به نابودی کشوند و اثرش همیشه منفی است.,0,True,2,Pipeline,ExclusiveSampler[2],1280
من با نرم‌افزار سندرا آزمایش کردم و متأسفانه دمای CPU گاهی اوقات به راحتی تا ۹۰ درجه می‌رسد، که نشان‌دهنده مشکل جدی خنک‌کنندگی است و نگران‌کننده است.,1,True,2,Pipeline,ExclusiveSampler[2],1363
متأسفانه، روش‌های نصب آندروید ۴ بسیار پیچیده و پر از مشکلات هستن. یکی از بزرگ‌ترین ایراداش اینه که زبان فارسی رو اصلاً پشتیبانی نمی‌کنه و در سایت‌های فارسی، متن‌ها رو برعکس نشون می‌ده که بسیار آزاردهنده است.,0,True,1,Pipeline,ExclusiveSampler[1],124
اگر بسیاری از گوشی‌های دیگر حتی مدل‌های نسبتا ارزان قیمت‌تر سامسونگ را دیده باشید دارای ویجت‌های انتخابی بر روی صفحه‌ی خانگی خود هستند که برای مثال آب و هوای منطقه‌ی زندگی شما بر روی آن نمایش داده می‌شود.,3,False,,,,
ولي کيفيت فيلمبرداري و کيفيت رنگ و اسپيکراش خيلي خوبه.,4,False,,,,
نمایشگری بسیار کارآمد که امکان عکاسی از چهره‌ی خود را فراهم می‌کند، تجربه‌ای منحصر به فرد و لذت‌بخش برای کاربران است که تاثیر زیادی در کیفیت عکاسی دارد.,4,True,3,Pipeline,ExclusiveSampler[3],498
این در حالیست که دو مدل پیشین دارای کمینه ی نسبت کانونی f/2.8-5.6 بودند.,2,False,,,,
مثل اکثر گوشی‌های خانواده Xperia، بلندگوی Xperia Ray کیفیت بسیار پایینی دارد و به عنوان یکی از نقاط ضعف اصلی آن محسوب می‌شود، که نشان دهنده‌ی بی‌کیفیتی این محصول است.,0,True,3,Pipeline,ExclusiveSampler[3],841
این لنز جدید کانن که حدود 250 دلار قیمت دارد،  تحولی کامل نسبت به 18-55 های قبلی می باشد.,2,False,,,,
اما در اين حالت صفحه کليد بيش‌تر براي وارد کردن اطلاعات و متن کاربرد دارد و نمي‌توان از آن براي اجراي بازي استفاده کرد.,2,False,,,,
واقعاً نمی‌فهمم چرا باتری این مدل به عنوان نقطه ضعف ذکر شده است، این مشکل بنظر مهم و نگران‌کننده است.,1,True,2,Pipeline,ExclusiveSampler[2],176
يکي از مزيت هاش هم عکس با کيفيت 16 در 9 که خوراک لپ تاپ و چاپ فوکوس نسبتا سريعي داره اون دوستاني هم که ميگن باتريش ضعيفه حتما gps شون روشن که در صورت خاموش کردن عمر باطريشون 2 برابرميشه حسگر نوع CMOS  اون باعث شده همه ي عکس ها وايد باشه,3,False,,,,
در حال حاضر با توجه به گوشي هاي موجود و قيمت نجومي HTC Butterfly سه گزينه ميماند:Lumia 920iphone IVHTC One X plusهر کدوم مزايا و معايب خودشون رو دارن و البته سه OS متفاوت.,2,False,,,,
عملکرد ماکرو نیز عالیست و دوربین در این مود توانایی فوکوس و عکس گرفتن از سوژه‌هایی به نزدیکی 3 سانتی متر را دارد.,4,False,,,,
متأسفانه، اینجا هیچ نوآوری خاصی در فناوری Palm Proof دیده نمی‌شود و عملکرد آن رضایت‌بخش نیست.,1,True,2,Pipeline,ExclusiveSampler[2],911
اما اگر روشنایی را بالا ببرید وضعیت کمی بهتر می‌شود.,3,False,,,,
لنز وايد ،  از کجا ميشه تهيه کرد و قيمتش حدودا چقده؟,2,False,,,,
در حالی که معتقدم آیفون ۵ یکی از بهترین گوشی‌های جهان است، ولی به دلایلی ترجیح می‌دهم از Android استفاده کنم. یکی از دلایل این است که Android به راحتی از بلوتوث پشتیبانی می‌کند، در حالی که برای iOS باید جیل‌بری انجام داد و برنامه‌هایی مانند iBluetooth را جستجو کرد. دوم اینکه، اکثر امکانات آیفون، مانند نقشه‌ها و دیگر خدمات، من را راضی نمی‌کند و ترجیح می‌دهم سیستم Android را انتخاب کنم.,0,True,1,Pipeline,ExclusiveSampler[1],80
در این نوت‌بوک‌ها، می‌توانید کارت‌های گرافیک قدرتمند AMD Radeon سری ۵۰۰۰، ۶۰۰۰ و ۷۰۰۰ یا NVIDIA GeForce سری GT ۵۰۰M و GT ۶۰۰M را به راحتی پیدا کنید. انتخاب عالی برای کارهای گرافیکی!,3,True,2,Pipeline,ExclusiveSampler[2],981
بعلاوه فیلمبرداری 720p HD هم امکان‌پذیر است ولی کیفیت آن خیلی بد است.,1,True,4,Pipeline,ExclusiveSampler[4],556
این در حالی است که می‌توانید کانفیگ‌هایی با حافظه‌ی RAM تا 8 گیگابایت را نیز انتخاب نمایید.,2,False,,,,
لوميا ۶۲۰ اگر چه ارزون ترين لوميا در ميان سري جديد گوشي هاي نوکيا با ويندوز فون ۸ به حساب مياد اما تعداد زيادي از سايت ها اين گوشي رو با توجه به قيمت و امکاناتش متوازن ترين لوميا و بهترين خريد در ميان گوشي هاي هوشمند ارزون قيمت به حساب ميارن.,3,False,,,,
اما اگر با دقت بیشتری به این دوربین نگاه کنیم،  باید گفت که سنسور تصویر 10 مگاپیکسلی CCD سایز 1/1.7 اینچی P7100 با یک سنسور 12.1 مگاپیکسلی CMOS با همان سایز تعویض شده است.,2,False,,,,
در قسمت بالا، در کنار دکمه‌های Mode و Photo، طراحی آنها به گونه‌ای است که حس می‌کنید بی‌نهایت زیبا و هماهنگ به نظر می‌رسند!,4,True,2,Pipeline,ExclusiveSampler[2],388
این گوشی ظاهر خوبی دارد، اما طراحی آن به هیچ وجه مورد پسند من نیست و احساس ناپسندی می‌کنم.,1,True,3,Pipeline,ExclusiveSampler[3],719
امکانات بسيار کمي‌ داره نسبت به خارج از ايران.,0,False,,,,
بیشتر تغییرات در قسمت پشتی دیده می شوند.,2,False,,,,
HP به همراه این پرینتر درایورهای 32 و 64 بیت برای سازگاری با ویندوز XP،  Vista،  7 و OS X 10.4 را نیز فراهم کرده است.,3,False,,,,
همچنین این تبلت دارای سرویس DLNA نیز،  است که به کمک آن میتوانید با تبلت خود،  با لوازم دیجیتالی دیگر ارتباط بی سیم برقرار کنید.,2,False,,,,
اين که قيمتش اندازه padfone 1 هست خيلي عاليه.,4,False,,,,
توانائی هوشمند: ای دیتا درایوهای قابل حمل خود نه تنها با مشکلات فنی مداوم، کیفیت نامناسب و کارایی کم، بلکه طراحی ضعیف و بی‌نیاز از نرم‌افزارهای ارزشمند نیز شناخته می‌شوند، که نشانگر بی‌توجهی و نقص‌های جدی در محصول است.,0,True,3,Pipeline,ExclusiveSampler[3],208
به نظر من اين گوشي با توجه به مشخصات و قيمت يکي از بهترين گزينه هاي دو سيم کارته آندرويد بازاره.,3,False,,,,
علاوه بر این، اگر FT3 را از ارتفاع 2 متری بیاندازید، یعنی احتمالا از ارتفاع بیشتری نسبت به قد شما، و بر سطح سختی بیفتد، بدون شک هیچ آسیبی نمی‌بیند. این نشان می‌دهد که هیچ ارزشی ندارد و بی‌فایده است.,0,True,3,Pipeline,ExclusiveSampler[3],1043
کلیدهای تاچ پد نیز در کنار یکدیگر قرار گرفته‌اند و عملکرد کاملا قابل قبولی دارند.,3,False,,,,
هم‌چنين،  ريجن‌هاي J/Asia و J از لحاظ اجراي بازي‌هاي ريجن‌فري با هم متفاوت هستند.,2,False,,,,
مسلما مهم‌ترین بخش نرم افزاری این گوشی،  برنامه پخش موسیقی یا همان برنامه Walkman آن است.,2,False,,,,
وان ایکس که من با باتری‌اش مشکل داشتم، دیگر جزو گوشی‌های مورد علاقه‌ام نیست.,1,True,0,Pipeline,ExclusiveSampler[0],0
نقاط قوتی که پس از تقریبا دو ماه بررسی روی Xperia Pro مشاهده کردم عبارتند از: 1. داشتن کارت گرافیک قدرتمند (Adreno 205) 2.,4,True,3,Pipeline,ExclusiveSampler[3],944
واقعا متأسفم، فقط باید بگم دیگه اعتمادم کامل به دیجی‌کالا را از دست دادم!,0,True,3,Pipeline,ExclusiveSampler[3],1198
اصلا از این دوربین راضی نیستم، کیفیتش خیلی پایین است و ارزش خرید ندارد.,1,True,4,Pipeline,ExclusiveSampler[4],469
خودش هم از هر لحاظ ازش راضي بود!,4,False,,,,
نورسنجی و نوردهی غالباً بسیار بد انجام می‌شود و خیلی از تصاویر خوب و قابل قبول نیستند.,1,True,3,Pipeline,ExclusiveSampler[3],1214
همان پردازشگر جدیدی که بر روی دوربین های سال 2012 این شرکت مثل S100 و G1 X به کار رفته.,3,False,,,,
"واقعا باید اینطور به Siri بگویید: ""به همسرتان بگویید که بچه‌ها را فراموش نکند، این یک راه فوق‌العاده برای مراقبت است!""",4,True,2,Pipeline,ExclusiveSampler[2],389
هم از نظر ظاهر و طراحي و هم از نظر سخت افزار.,2,False,,,,
عرض قابل اسکن این دستگاه 21 سانتی متر و طول قابل اسکن نیز 100 سانتی متر می باشد.,2,False,,,,
واقعا ناامیدکننده است و هیچ جذابیتی نداره.,1,True,4,Pipeline,ExclusiveSampler[4],248
دوربین بسیار خوبی دارد - طراحی خلاقانه و راحت در دست - صفحه نمایش بزرگ - لمس سریع - پردازنده قدرتمند - مواردی که می‌توان آنها را با s3 مقایسه کرد.,3,True,4,Pipeline,ExclusiveSampler[4],111
به نظر من اين تبلت عاليست حتي از ايپد 4 هم بهتره .,4,False,,,,
سلام صفحه کليدش سفته  بعضي وقتا قاطي ميکنه ولي بدنش محکمه,2,False,,,,
با این حال ساختن چشمی های اپتیکال با توانایی پوشش 100 درصد میدان دید کار نسبتا مشکلی ست که قیمت دوربین را بالا می برد.,1,False,,,,
